	MCT1_id	MCT1_name	MCT1_r_value	SIT4_id	SIT4_name	SIT4_r_value	PHO85_id	PHO85_name	PHO85_r_value	PHO84_id	PHO84_name	PHO84_r_value	PHO4_id	PHO4_name	PHO4_r_value	REG1_id	REG1_name	REG1_r_value	PHO80_id	PHO80_name	PHO80_r_value	PHO81_id	PHO81_name	PHO81_r_value	PHO89_id	PHO89_name	PHO89_r_value	PHO2_id	PHO2_name	PHO2_r_value	PHO87_id	PHO87_name	PHO87_r_value	PHO90_id	PHO90_name	PHO90_r_value
26	YDL046W	NPC2	0.3695992358640033	YLL018C-A	COX19	0.38877600035688353	YOR003W	YSP3	0.406104895029279	YEL040W	UTR2	0.3151243192379755	YHL025W	SNF6	0.4810429745997227	YJL020C	BBC1	0.6861025148253156	YJL004C	SYS1	0.4658941775054537	YOR192C-C	YOR192C-C	0.33725175028036186	YMR251W	GTO3	0.3405494194610692	YLR149C	YLR149C	0.5643212187163013	YCR028C	FEN2	0.38707448502273134	YKR081C	RPF2	0.4593403670521815
27	YGR161C	RTS3	0.36811228957954256	YDL123W	SNA4	0.38865281680149977	YEL012W	UBC8	0.4056257759949859	YML056C	IMD4	0.3128710769132162	YGR002C	SWC4	0.47964113720945895	YDR052C	DBF4	0.6847165154638913	YLR201C	COQ9	0.4651424601726505	YHR124W	NDT80	0.33663292122970656	YLR377C	FBP1	0.337206324409568	YGL197W	MDS3	0.5622045071393139	YDL080C	THI3	0.386371364779123	YBR141C	BMT2	0.4587134965703245
28	YJL213W	YJL213W	0.3663244113396447	YPL057C	SUR1	0.3801300116851998	YLR178C	TFS1	0.4042843206027052	YGR191W	HIP1	0.31206104725379136	YKL198C	PTK1	0.47812024350514115	YDL132W	CDC53	0.6842682556728997	YFL041W-A	YFL041W-A	0.46359760273385353	YJL207C	LAA1	0.3362682045344374	YOR328W	PDR10	0.33132032355473195	YDR330W	UBX5	0.5613870631335532	YKL174C	TPO5	0.3807634710574711	YIL103W	DPH1	0.4584384866784206
29	YPL135W	ISU1	0.36552092335457254	YNL268W	LYP1	0.3800765454715904	YBR269C	SDH8	0.39843876338575984	YER036C	ARB1	0.3103307085598093	YDR482C	CWC21	0.47006297670660163	YHR082C	KSP1	0.6801426376087419	YKL004W	AUR1	0.46351792297906563	YMR211W	DML1	0.3252543918358494	YPR192W	AQY1	0.32978399549303006	YDL005C	MED2	0.5612065419186643	YHR045W	YHR045W	0.3799466429023767	YOR207C	RET1	0.45755491892986877
30	YGR149W	GPC1	0.3640088711658809	YJL041W	NSP1	0.37925996787891897	YJR019C	TES1	0.3958927181483305	YFR055W	IRC7	0.30845540845183345	YPL055C	LGE1	0.4687348079789518	YER047C	SAP1	0.6791279618241663	YPR071W	YPR071W	0.4626682997882652	YHR111W	UBA4	0.3234880813282946	YHR139C	SPS100	0.32977343143033233	YGR023W	MTL1	0.5605665211593513	YPL244C	HUT1	0.3796732542889914	YOR243C	PUS7	0.45734359672548924
31	YIL033C	BCY1	0.36243189899842293	YER116C	SLX8	0.37910796012564724	YHR106W	TRR2	0.395268206822002	YBR034C	HMT1	0.3070909683329024	YIL046W	MET30	0.46789277817885677	YGL190C	CDC55	0.6760646101326856	YIL089W	YIL089W	0.4592292966133324	YIL139C	REV7	0.32329375092747353	YAL054C	ACS1	0.32914299372973277	YDL113C	ATG20	0.5602558958915261	YMR111C	YMR111C	0.3773518890490488	YLR372W	ELO3	0.4541301556310944
32	YCL052C	PBN1	0.36061275153193273	YPR159W	KRE6	0.378509638656885	YDR032C	PST2	0.3921011995539368	YCL064C	CHA1	0.30632670869522666	YBL013W	FMT1	0.4658740713663464	YCR026C	NPP1	0.6755734519224551	YNL024C-A	KSH1	0.45762447806800965	YDR440W	DOT1	0.3229074464372776	YIL055C	YIL055C	0.3271738215103017	YLL019C	KNS1	0.5595322690777841	YIL048W	NEO1	0.37694684166229364	YIR012W	SQT1	0.454102928364414
33	YPL203W	TPK2	0.36017793193761377	YDL088C	ASM4	0.3784441977199224	YNL200C	NNR1	0.39002036304816334	YIL145C	PAN6	0.3044956899667597	YDL047W	SIT4	0.46577653356508364	YLR114C	AVL9	0.6722682020506128	YOR302W	YOR302W	0.45754165045218514	YPR175W	DPB2	0.3226062852506427	YPL222W	FMP40	0.32686298051735735	YNL054W	VAC7	0.5590804754015275	YJL198W	PHO90	0.3763341376129401	YOL021C	DIS3	0.4527031291659897
34	YBR221C	PDB1	0.3597073644654823	YCR012W	PGK1	0.37432536014010726	YJL068C	YJL068C	0.38883887285528673	YDR037W	KRS1	0.3041312767772897	YLL018C-A	COX19	0.46258323022097364	YCR033W	SNT1	0.6711875066093019	YKL170W	MRPL38	0.4544142858160369	YBR257W	POP4	0.3213474759277756	YKL107W	YKL107W	0.3248909849007547	YLR310C	CDC25	0.5590472090042633	YPL188W	POS5	0.37548133834361574	YML056C	IMD4	0.45125827195519747
35	YKR091W	SRL3	0.3584671961863329	YNL176C	TDA7	0.37363777821299204	YOR125C	CAT5	0.3849092724877882	YGL120C	PRP43	0.30334193558478945	YIL022W	TIM44	0.4622781710716571	YOR227W	HER1	0.6677851958204383	YOR245C	DGA1	0.4542691794988247	YGL086W	MAD1	0.31977446633248136	YER072W	VTC1	0.324324640943661	YBR214W	SDS24	0.5587943815329491	YJR093C	FIP1	0.37111648490323396	YKL181W	PRS1	0.4510594973933885
